episode_number,success_episode,failure_episode,episode_reward,episode_step
1222,True,False,736,69
1223,True,False,822,84
1224,True,False,732,69
1225,True,False,1310,163
1226,True,False,1342,200
1227,True,False,1450,185
1228,True,False,1095,128
1229,True,False,1326,200
1230,True,False,1446,183
1231,True,False,1290,159
1232,True,False,1039,118
1233,True,False,1040,118
1234,True,False,1089,125
1235,True,False,887,91
1236,True,False,1375,174
1237,False,True,137,46
1238,True,False,1080,124
1239,True,False,1369,171
1240,True,False,1193,144
1241,True,False,1447,185
1242,True,False,1339,168
1243,True,False,963,106
1244,True,False,1126,134
1245,False,True,524,106
1246,True,False,1355,171
1247,True,False,1404,178
1248,True,False,1312,163
1249,True,False,1336,200
1250,True,False,1207,146
1251,True,False,1143,136
1252,True,False,885,94
1253,True,False,936,100
1254,True,False,666,59
1255,True,False,704,64
1256,True,False,674,60
1257,True,False,1087,127
1258,True,False,1176,140
1259,True,False,1123,132
1260,True,False,1429,184
1261,True,False,1095,128
1262,True,False,974,107
1263,True,False,1334,200
1264,True,False,1458,187
1265,True,False,1337,167
1266,True,False,1451,187
1267,True,False,1500,195
1268,True,False,1404,178
1269,True,False,1400,179
1270,True,False,1461,187
1271,True,False,1519,197
1272,True,False,1410,179
1273,True,False,1362,171
1274,True,False,1294,161
1275,True,False,1474,191
1276,True,False,1414,181
1277,True,False,1196,143
1278,True,False,799,79
1279,False,True,209,56
1280,True,False,1340,167
1281,True,False,1381,174
1282,True,False,1347,200
1283,True,False,1303,161
1284,True,False,1347,200
1285,True,False,1365,172
1286,True,False,1334,200
1287,True,False,1325,163
1288,False,True,232,60
1289,True,False,962,106
1290,True,False,1457,186
1291,True,False,1324,200
1292,True,False,1121,130
1293,True,False,1179,140
1294,False,True,250,62
1295,False,True,138,49
1296,True,False,1059,122
1297,False,True,118,42
1298,True,False,1349,169
1299,False,True,402,87
1300,True,False,970,105
1301,True,False,1333,200
1302,True,False,1028,115
1303,False,True,236,61
1304,True,False,1418,180
1305,True,False,1435,183
1306,True,False,1287,158
1307,True,False,1070,123
1308,False,True,415,90
